OL1004630A	Geoffrey Household
OL536327A	OL4489598A	OL6158276A	OL7565916A	OL8624975A	American Psychological Association.	American Psychological Association	AMERICAN PSYCHOLOGICAL ASSOCIATION	6th Edition Publication Manual of the American Psychological Association	APA (2010)
OL537218A	René Girard
OL5372995A	Ransom Riggs
OL537889A	OL2640476A	Serope Kalpakjian	Steven Schmid
OL538063A	Geoffrey M. Cooper
OL53816A	Des Dillon
OL538956A	OL7463233A	OL10613610A	Nassim Nicholas Taleb	David Chandler	Nassim N. Taleb
OL538956A	OL8947030A	OL9107801A	Nassim Nicholas Taleb	Genís Sánchez Barberán	Albino Santos Mosquera
OL539266A	OL92896A	OL9608312A	Michael Pollan	Richie Chevat	Raul Nagore
OL539316A	Annette Curtis Klause
OL539397A	Eric Ambler
OL540486A	J. D. Salinger
OL540493A	OL6000373A	OL11436451A	OL11501283A	OL2703302A	OL12296721A	OL14090744A	OL11537601A	Norman Douglas	Norman Douglas	Norman (1868-1952) Douglas	Norman [1868 - 1952] Douglas	NORMAN DOUGLAS	Douglas, Norman Petrina, Carlotta,	Douglas, Norman and Angelo, Valenti (Illus. )	norman douglas
OL544675A	C. J. W. Allen
OL545311A	OL1454264A	OL4446159A	OL2846109A	OL2846110A	OL2730156A	Lawrence H. Miller	Peter H. Gregory	Lawrence Miller	Lawrence C. Miller	Peter H., CISA, CISSP Gregory	Peter Gregory
OL546052A	Apsley Cherry-Garrard
OL54732A	Ann Radcliffe
OL5476227A	OL392962A	OL391217A	Michael Levy	Michael Levy	Barton A. Weitz
OL548288A	OL407180A	Suzanne Schlosberg	Liz Neporent
OL548464A	Kay Lawson
OL548516A	OL2627815A	OL124171A	OL19677A	OL78910A	OL52922A	OL1195114A	Thomas R. Arp	Greg Johnson	Albert Camus	Антон Павлович Чехов	Chinua Achebe	Margaret Atwood	Richard Connell
OL551291A	Barbara Tuchman
OL556158A	James E. Anderson
OL558099A	B. Traven
OL562775A	OL5940149A	Gordon W. Allport	G W. Allport
OL5728694A	S. J. Watson
OL574973A	Douglas, Susan J.
OL575390A	Peter Benchley
OL575932A	Betty Neels
OL577983A	Sara Craven
OL578569A	Beryl Markham
OL579371A	OL27183A	Joe Girard	Stanley H. Brown
OL579379A	Simon Beckett
OL579730A	OL1354049A	OL1673351A	R. R. Palmer	Palmer	Joel G. Colton
OL579858A	C. W. Ceram
OL581007A	OL5472422A	OL15030523A	OL15030524A	OL15030525A	OL15022516A	OL15022517A	OL1356413A	Sima Qian	Burton Watson	裴駰	司馬貞	張守節	中華再造善本工程規劃指導委員會	中華再造善本工程編纂出版委員會	Ikkai, Tomoyoshi
OL58120A	Plutarch
OL5817016A	OL7597015A	David Airey	David Airey
OL588123A	Helen Joseph Armstrong
OL589216A	Catherine George
OL58993A	OL10893847A	OL14648448A	Théophile Gautier	G. Charpentier (1880)	Carolus Duran
OL58993A	Théophile Gautier
OL589978A	Gillian Richardson
OL59188A	Ayn Rand
OL59362A	Nancy Friday
OL593794A	OL406752A	Ernest Lawrence Thayer	Joe Torre
OL595213A	Hergé
OL5985725A	Canada. North Administration Branch. Welfare Division.
OL598906A	O. J. Peart
OL5992432A	Scheherazade
OL60352A	Jean Racine
OL60411A	Mario Benedetti
OL60439A	OL7275698A	OL2070244A	OL832118A	OL1966826A	OL2790446A	OL129198A	OL2466677A	Julian of Norwich	Warrack, Grace Harriet, 1855-1932	Julian	Frances Beer	Edmund Colledge	James Walsh	Jean Leclercq	John Skinner
OL60550A	Olaudah Equiano
OL608235A	OL2930260A	OL5244249A	OL2204640A	OL5940936A	Wu Cheng'en	Eleanor Hazard	Chʻeng-en Wu	Darwin L. Teilhet	Anthony C. Yu
OL6173447A	Blissett, Luther pseud.
OL620046A	Ray Oliver
OL622233A	Emily Post
OL6245647A	Muriel Barbery
OL629926A	F. Neirynck
OL6299300A	OL2944103A	OL2944104A	Zachary Pincus-Roth	Avenue Q	Zachary Pincus-Roth (Text And Interviews)
OL63387A	OL6390289A	Church of England	J. A. Maurault
OL6367309A	Canada. Dept. of Northern Affairs and National Resources. Northern Administration Branch.
OL637216A	R. D. Blackmore
OL63790A	Linwood Barclay
OL64552A	OL195576A	OL6008599A	OL5994403A	OL5998906A	OL6024626A	OL14485882A	William Beckford	Samuel Henley	Richard Garnett 	Samuel Henley	Franz Blei	John Beckford	Giaime Giaime Pintor
OL656011A	Helene Hanff
OL6562198A	Ze Wang
OL657204A	Chris Van Allsburg
OL659964A	Anne Weale
OL661093A	Penny Jordan
OL6616523A	OL7172837A	Becca Fitzpatrick	Becca Fritzpatrick
OL66452A	Miguel de Cervantes Saavedra
OL665753A	Lynne Graham
OL665887A	Guillermo José Schael
OL66700A	Paulo Coelho
OL6704789A	Jandy Nelson
OL6717007A	Lucy Christopher
OL6720423A	Rebecca Skloot
OL67280A	OL3895752A	OL3113732A	Michel Tournier	Michel Maillard	Arlette Bouloumié
OL673325A	Rainer Maria Rilke
OL673823A	Miranda Lee
OL6750109A	Chevy Stevens
OL67695A	OL2649801A	Paul O. Harder	Greg A. Steinke
OL6788551A	Kiera Cass
OL68291A	Jude Deveraux
OL6829A	Mao Zedong
OL68333A	John Milton
OL683896A	OL7553925A	OL7625969A	Tsʻao, Hsüeh-chʻin.	(qing) Cao, xue qin	Cao xue qin
OL68412A	James Orchard Halliwell-Phillipps
OL6841363A	Nichigai Asoshiētsu
OL68554A	OL297618A	Jacobus de Voragine	William Caxton
OL6856645A	Aristotle
OL688643A	Eric Rücker Eddison
OL688933A	International Telegraph and Telephone Consultative Committee. Plenary Assembly
OL6898863A	E. M. Forster
OL6899222A	Molière
OL6935134A	Jeff Whitty
OL6941838A	Jussi Adler-Olsen
OL6941868A	Ernest Cline
OL694360A	Arthur Quiller-Couch
OL694360A	OL7379579A	Arthur Quiller-Couch	Q
OL6969144A	OL6492468A	OL8336197A	Peter Dickinson	C. E. Gatchalian	Dalbir Singh
OL6987325A	Kay Thorpe
OL7015658A	Sarah Moon
OL7021331A	OL3358886A	Leonard Susskind	Art Friedman
OL7032054A	Leigh Bardugo
OL7034830A	Katherine Boo
OL7044246A	刘慈欣
OL7057060A	Marie Lu
OL7068593A	Rachel Joyce
OL70699A	Emma Donoghue
OL709121A	OL1460559A	OL8654905A	OL2783112A	OL7342508A	OL9182880A	Maj Sjöwall	Per Wahlöö	Ona Rius Piqué	Tom Weiner	Martin Lexell	Elda García
OL7093600A	E. L. James
OL7102592A	OL2898700A	Kevin P. Murphy	Kevin P. Murphy
OL710654A	Mary Renault
OL710654A	OL15849219A	Mary Renault	MaryRenault
OL7106665A	Chris Colfer
OL710984A	Steven H. Strogatz
OL7112053A	Arnold Francis
OL7115219A	Sarah J. Maas
OL7126491A	Charanjit Singh-Landa
OL7145305A	Carol Rifka Brunt
OL715297A	Edmund Crispin
OL7153934A	David Green
OL715418A	Graeme Simsion
OL7166036A	Fredrik Backman
OL7168505A	Hugh Howey
OL7172738A	OL821987A	OL7636493A	OL9144392A	OL15298918A	Malala Yousafzai	Christina Lamb	Malala Yousafzai	Malala Yousafazi	MALALA YOUSAFZAI 
OL717508A	Pierre J. Capretz
OL7175290A	Nabeel Qureshi
OL720924A	Jeffrey Eugenides
OL7234434A	Andy Weir
OL7243135A	Amy Tintera
OL7276129A	Victoria Aveyard
OL727975A	Darko Kajfez
OL7284407A	G. M. Berrow
OL7290155A	Jessica Knoll
OL7290350A	OL7404795A	Becky Albertalli	Adam Silvera
OL7290426A	J. D. Vance
OL729763A	Diana Hamilton
OL7310561A	OL7500332A	OL7956681A	Samantha Shannon	Samnatha Shannon	Alana Kerr
OL7315784A	Colleen Hoover
OL73278A	John Cleland
OL7363586A	Reformed Church in America. Board of Foreign Missions
OL73644A	OL9769897A	Arnon Grunberg	Arnon Grunberg
OL7366833A	Ottessa Moshfegh
OL7369617A	Shari Lapena
OL7370073A	OL13535039A	Angie Thomas	Angie Thomas
OL7387940A	Becky Chambers
OL740081A	J. J. Mueller
OL7404795A	Adam Silvera
OL7412371A	Cathy O'Neil
OL74434A	Aeschylus
OL7447258A	OL225203A	OL2737218A	Donald E. Kieso	Jerry J. Weygandt	Terry D. Warfield
OL74490A	Mario Vargas Llosa
OL74490A	OL2704471A	Mario Vargas Llosa	Helen Lane
OL7458898A	Alice Feeney
OL7469324A	Charanjit Singh
OL7477772A	Martin Kleppmann
OL7486254A	HOUGHTON MIFFLIN HARCOURT
OL7486498A	Carmen Maria Machado
OL7503617A	Nick Cutter
OL7504431A	OL2837944A	Elisabeth Vonarburg	Jane Brierley
OL7512348A	Pedro Domingos
OL7516132A	Judith Baity
OL7516759A	Christina Dalcher
OL75235A	Sir Walter Scott
OL7524747A	Dan Gemeinhart
OL75391A	Max Frisch
OL7549769A	OL1368A	Karl Marx	Friedrich Engels
OL7551522A	Premise Content
OL756209A	Lass Small
OL756213A	Lucy Gordon
OL7572554A	Daylite Publishing
OL7600455A	Bill Browder
OL76333A	OL2696365A	Marshall McLuhan	Marshal McLuhan
OL7640391A	Deborah Ellis
OL76547A	Martin Cruz Smith
OL766555A	Georgette Heyer
OL76675A	OL13492389A	Stephen Chbosky	Stephen Chbosky
OL7689240A	Xavier Mayne
OL76911A	OL463536A	Michio Kushi	Alex Jack
OL770407A	OL26997A	Daisy Ashford	J. M. Barrie
OL77081A	John Galsworthy
OL772829A	Margaret Oliphant
OL774774A	Malorie Blackman
OL775478A	David Paul Ewing
OL775910A	Charles Boer
OL7759271A	Pepper Winters
OL7783862A	Colin CJ Jarrett
OL779733A	Marcus Minucius Felix
OL780952A	H. R. Trevor-Roper
OL78288A	Guillermo Cabrera Infante
OL7842213A	David E. Shi
OL788688A	OL3376423A	OL324854A	Herbert W. Jackson	Dale Temple	Brian E. Kelly
OL7889810A	Claude C. Hopkins
OL78925A	Jodi Picoult
OL7898043A	Onjali Q. Rauf
OL78984A	OL2778455A	OL2778456A	David Ray Anderson	Dennis J. Sweeney	Thomas Arthur Williams
OL79023A	OL12756308A	OL12756309A	OL12756310A	OL12756311A	Arnold Schwarzenegger	Simon & Schuster  Inc	Simon & Schuster  Inc	Simon & Schuster  Inc	Simon & Schuster  Inc
OL79034A	Frank Herbert
OL79039A	Gustave Flaubert
OL79043A	Harris, Robert
OL79126A	Fred T. Jane
OL7934955A	Q Hayashida
OL79624A	ʻUmar ibn Muḥammad Nafzāwī
OL79750A	Sebastian Brant
OL7976416A	Onjali Q Raúf
OL7989995A	OL10339379A	Katz Cowley	Craig Smith
OL799671A	Jennifer Lynch
OL8002342A	Mike Ottley
OL8015593A	William McInnes
OL80534A	Lope de Vega
OL8101239A	Svetoslav P. Martinov
OL811660A	Michelle Reid
OL81831A	William Peter Blatty
OL819646A	Jomo Kenyatta
OL82236A	Alice Munro
OL82766A	Edward Lear
OL82840A	Francis Bacon
OL82891A	Juan Ramón Jiménez
OL82893A	Fernando de Rojas
OL829670A	Lucy S. Dawidowicz
OL831971A	Irving Wallace
OL832299A	Walter Isaacson
OL833570A	Walter R. Borg
OL83365A	OL7523503A	Cornelia Funke	Lionel Wigram
OL83503A	OL10618005A	OL9783623A	OL14659859A	OL3054487A	Alphonse Daudet	Carlos Cantueso	Tite Fée Tite Fée édition	Oliver C. Colt.	Not Stated
OL83503A	OL10881622A	OL8576700A	OL9081236A	OL9122962A	OL9122963A	Alphonse Daudet	Editions Editions AOJB	Didier Hallépée	Editions du Rey	José Roy	Fraipont
OL8354228A	B. Joy-Filled
OL8354734A	SuperSummary
OL835857A	Frank S. Budnick
OL8358739A	Joyful Creations
OL8373912A	OL8753437A	Jesse Sutanto	Jesse Q. Sutanto
OL837408A	MacKinlay Kantor
OL837437A	J. A. Collins
OL837676A	OL2785671A	Robert Descharnes	Gilles Néret
OL840268A	Irene Hunt
OL840316A	OL6020116A	William Smith	Mary Abby Thaxter Peloubet
OL840964A	OL840964A	OL15863855A	Okakura Kakuzō	Okakura Kakuzō	高玮
OL841112A	Donna Tartt
OL841402A	Jean Webster
OL8524602A	Rashell Choo
OL86757A	Jean Cocteau
OL868096A	Library of Congress. Subject Cataloging Division.
OL874206A	George Kennan
OL8753437A	Jesse Q. Sutanto
OL88204A	Erich Kästner
OL889275A	James Jones
OL890181A	Everett L. Shostrom
OL890666A	OL1395633A	OL229489A	OL3238499A	OL1302927A	OL381917A	Scott O’Dell	Lee Odell	Richard T. Vacca	Renee Hobbs	John E. Warriner	Judith L. Irvin
OL8909901A	Sŏng-su Yi
OL891032A	Lu Xun
OL891032A	OL244141A	Lu Xun	David Pollard
OL891758A	Mary O'Hara
OL891A	Mohandas Karamchand Gandhi
OL896513A	Justin Cronin
OL89930A	Pablo Neruda
OL9161902A	OL10733810A	OL9119368A	OL10993009A	OL4795384A	Anna Katharine Green	Anna Katharine Green	Cyanide Publishing	Anna Katherine Green	Anna Green
OL92800A	Omar Khayyam
OL92956A	Christopher Pike
OL9310463A	Doris Kearns Goodwin
OL93286A	Machado de Assis
OL9333784A	Monogrific Journals
OL9358569A	Unikkka Publishing
OL9388A	William Shakespeare
OL946366A	OL2749976A	OL3145850A	Charlotte Fiell	Peter Fiell	Simone Philippi
OL957317A	Milton Kaufman
OL957796A	Richard Hughes
OL9638313A	Kirschner KIRSCHNER KENNETH
OL9644176A	Chengafe ES
OL9644646A	Chengafe Agenda
OL9647843A	Pharmacy Testing Solutions
OL9658912A	The Rose
OL96984A	Orhan Pamuk
OL98209A	Thelma Lee-Mendoza
OL9876612A	Edmond Rostand
OL9900987A	John Bunyan
