target_name	qid	wikidata_label	label_en	label_mul	description_en	description_mul	matched_name	matched_source	aliases_en	aliases_mul	P106_occupation_qids	P569_birth	P570_death	P742_pseudonym	P1477_birth_name	enwiki_title	jawiki_title	source_snapshot
David Mitchell	Q18719365	David Mitchell	David Mitchell		Australian rules footballer		David Mitchell	label_en			Q13414980	+1964-12-23T00:00:00Z				David Mitchell (Australian rules footballer)		2026-08-05
Amanda Flower	Q18921731	Amanda Flower	Amanda Flower		American writer		Amanda Flower	label_en			Q6625963	+1980-01-23T00:00:00Z				Amanda Flower		2026-08-05
Daniel Silva	Q19519441	Daniel Silva	Daniel Silva		Brazilian Paralympian		Daniel Silva	label_en	Daniel Mendes Da Silva		Q25439032|Q2066131	+1979-06-05T00:00:00Z				Daniel Silva (athlete)		2026-08-05
Vance Muse	Q19666203	Vance Muse	Vance Muse		American lobbyist (1890-1950)		Vance Muse	label_en			Q11986654	+1890-01-06T00:00:00Z	+1950-10-15T00:00:00Z			Vance Muse		2026-08-05
Christopher  Rice	Q19838658	Christopher Rice	Christopher Rice		American guitarist		Christopher Rice	label_en			Q855091|Q450202							2026-08-05
Kathleen Delaney	Q20630914	Kathleen Delaney	Kathleen Delaney		American voice actress		Kathleen Delaney	label_en			Q33999|Q2405480|Q2259451	+1965-03-05T00:00:00Z				Kathleen Delaney		2026-08-05
John Gray	Q20988675	John Gray	John Gray		American mythologist and author		John Gray	label_en			Q201788|Q24387326|Q4988856|Q19361455|Q1622272|Q13418253	+1913-06-09T00:00:00Z	+2000-04-01T00:00:00Z			John Gray (mythologist)		2026-08-05
James      Conway	Q21456663	James Conway	James Conway		painter (b. 1967)		James Conway	label_en			Q1028181	+1967-01-01T00:00:00Z						2026-08-05
Michael Scott	Q21459066	Michael Scott	Michael Scott		painter (born 1931)		Michael Scott	label_en			Q1028181	+1931-01-01T00:00:00Z						2026-08-05
John Gray	Q21460659	John C. Gray	John C. Gray		painter (1873–1958)		John Gray	alias_en	John Gray		Q1028181	+1873-01-01T00:00:00Z	+1958-01-01T00:00:00Z					2026-08-05
Martin   Page	Q22006698	Martin Page	Martin Page		British writer and journalist (1938–2003)		Martin Page	label_en			Q36180|Q1930187	+1938-06-30T00:00:00Z|+1938-01-01T00:00:00Z	+2003-09-10T00:00:00Z|+2003-01-01T00:00:00Z			Martin Page (British author)		2026-08-05
Mark Young	Q23707624	Mark Young	Mark Young		American professional wrestler		Mark Young	label_en	"Luke Joseph ""Joe"" Mark Scarpa Jr."		Q13474373	+1967-04-23T00:00:00Z	+2016-02-25T00:00:00Z			Mark Young (wrestler)		2026-08-05
Gemma Sisia	Q24055507	Gemma Sisia	Gemma Sisia		Australian humanitarian (born 1971)		Gemma Sisia	label_en	Gemma Rice			+1971-11-03T00:00:00Z				Gemma Sisia		2026-08-05
John Rutherford	Q24176233	John Rutherford	John Rutherford		English cricketer who played for Cambridge University Cricket Club between 1957 and 1958		John Rutherford	label_en			Q12299841	+1935-09-03T00:00:00Z	+2013-12-25T00:00:00Z			John Rutherford (Cambridge University cricketer)		2026-08-05
David Thomas	Q24505396	David Thomas	David Thomas		bookseller, bookbinder, stationer and newsagent; Newtown, Montgomeryshire (1802-1874)		David Thomas	label_en	David Thomas Jnr		Q998550|Q1413170|Q24309558|Q1528905	+1802-00-00T00:00:00Z	+1874-00-00T00:00:00Z					2026-08-05
David Mitchell	Q24804720	David Mitchell	David Mitchell		American scenic designer (1931–2011)		David Mitchell	label_en	David I. Mitchell		Q11613590|Q2707485	+1932-05-12T00:00:00Z	+2011-10-03T00:00:00Z					2026-08-05
Josi S. Kilpack	Q24852372	Josi S. Kilpack	Josi S. Kilpack		American novelist		Josi S. Kilpack	label_en			Q6625963	+1974-05-26T00:00:00Z				Josi S. Kilpack		2026-08-05
Stephen Schwartz	Q25190543	Stephen Schwartz	Stephen Schwartz		American diplomat		Stephen Schwartz	label_en	Stephen Michael Schwartz			+1958-00-00T00:00:00Z				Stephen Schwartz (diplomat)		2026-08-05
John Gray	Q26244067	John H. Gray	John H. Gray		American economist		John Gray	alias_en	John Henry Gray | John Gray		Q188094|Q55104588	+1859-03-11T00:00:00Z	+1946-04-04T00:00:00Z			John H. Gray (economist)		2026-08-05
John Gray	Q26817457	John Gray	John Gray		Episcopalian minister of the Church of Scotland and non-juror		John Gray	label_en			Q212238	+1646-01-01T00:00:00Z	+1717-01-01T00:00:00Z			John Gray (Episcopalian minister)		2026-08-05
David Thomas	Q27909751	David Thomas	David Thomas		British businessman, CEO of Barratt Developments		David Thomas	label_en	David Fraser Thomas		Q2961975	+1963-00-00T00:00:00Z				David Thomas (British businessman)		2026-08-05
John  Blackburn	Q27914984	John Blackburn	John Blackburn		Anglican priest (born 1947-2021)		John Blackburn	label_en			Q42603	+1947-12-03T00:00:00Z	+2021-10-01T00:00:00Z			John Blackburn (priest)		2026-08-05
John Gray	Q28730255	John Gray	John Gray		American Civil War soldier		John Gray	label_en				+1836-00-00T00:00:00Z	+1887-06-01T00:00:00Z			John Gray (Medal of Honor)		2026-08-05
James White	Q28964952	James White	James White		American lawyer and politician (1792–1870); Maine State Treasurer		James White	label_en			Q40348|Q82955	+1792-09-02T00:00:00Z	+1870-00-00T00:00:00Z|+1870-12-24T00:00:00Z			James White (Maine politician)		2026-08-05
Michael Scott	Q30125895	Michael Scott	Michael Scott		New Zealand judoka (1958-)		Michael Scott	label_en			Q6665249	+1958-11-03T00:00:00Z|+1958-00-00T00:00:00Z						2026-08-05
David Mitchell	Q30347996	David Mitchell	David Mitchell		researcher (ORCID 0000-0003-4830-5332)		David Mitchell	label_en			Q1650915							2026-08-05
Alexis  Hall	Q31214108	Alexis Hall	Alexis Hall	Alexis Hall	British writer		Alexis Hall	label_en	Alexis J. Hall	Alexis J. Hall	Q36180					Alexis Hall (writer)		2026-08-05
Richard Rodgers	Q38914911	Richard Rodgers	Richard Rodgers		Librarian at MIT		Richard Rodgers	label_en			Q12008505							2026-08-05
Hans Wilhelm	Q40022888	Hans Wilhelm	Hans Wilhelm		actor		Hans Wilhelm	label_en			Q33999							2026-08-05
Mark Young	Q40046312	Mark T. Young	Mark T. Young		researcher ORCID: 0000-0002-9615-9002		Mark Young	alias_en	Mark Young		Q1650915							2026-08-05
David  Dean	Q42290682	David D. Dean	David D. Dean		researcher		David Dean	alias_en	David Dean		Q1650915							2026-08-05
Michael Scott	Q42532099	Michael Scott	Michael Scott		actor in Den Brother		Michael Scott	label_en			Q33999|Q713200							2026-08-05
Michael Scott	Q43136736	Michael Scott	Michael Scott		Scottish artist (1946-2006)		Michael Scott	label_en			Q483501	+1946-01-01T00:00:00Z	+2006-01-01T00:00:00Z|+2006-08-29T00:00:00Z					2026-08-05
James Bow	Q47117853	James Bow	James Bow	James Bow	Canadian writer		James Bow	label_en			Q36180|Q15980158	+1972-04-19T00:00:00Z						2026-08-05
Richard Sale	Q47127152	Richard Sale	Richard Sale	Richard Sale	(1946- )		Richard Sale	label_en			Q15980158	+1946-04-24T00:00:00Z|+1946-00-00T00:00:00Z						2026-08-05
Pat Booth	Q47528400	Pat Booth	Pat Booth	Pat Booth	New Zealand journalist (1929-2018)		Pat Booth	label_en	Patrick John Booth		Q1930187	+1929-09-09T00:00:00Z	+2018-01-31T00:00:00Z			Pat Booth (journalist)		2026-08-05
Anthony Roberts	Q51575981	Anthony P Roberts	Anthony P Roberts		researcher (ORCID 0000-0001-5915-300X)		Anthony Roberts	alias_en	Anthony P. Roberts | Anthony Roberts		Q1650915							2026-08-05
Nigel Peake	Q55132027	Nigel Peake	Nigel Peake		British architect, contemporary		Nigel Peake	label_en			Q42973	+1981-01-01T00:00:00Z				Nigel Peake		2026-08-05
Christopher  Rice	Q55182159	Christopher A Rice	Christopher A Rice		researcher		Christopher Rice	alias_en	Christopher Rice		Q1650915							2026-08-05
David Thomas	Q56184783	David Thomas	David Thomas		of Henllys and Llwynywermwd		David Thomas	label_en			Q1483709							2026-08-05
James Fleming	Q58333526	James A Fleming	James A Fleming		researcher, ORCID id # 0000-0002-9259-3522		James Fleming	alias_en	James Fleming		Q1650915							2026-08-05
J.D.   Smith	Q59669543	John-David Smith		John-David Smith	American astrophysicist		J.-D. Smith	alias_en	J.-D. Smith | J.D. Smith | John-David T. Smith | JDRiverRun		Q11063|Q1622272|Q1650915|Q5482740			JDRiverRun				2026-08-05
Charles Spencer	Q60021986	Charles S. Spencer	Charles S. Spencer		researcher ORCID ID = 0000-0001-7579-3234		Charles Spencer	alias_en	Charles Spencer		Q1650915							2026-08-05
John Gray	Q61044197	John Gray	John Gray		1919-		John Gray	label_en	John Clement Gray			+1919-01-01T00:00:00Z|+1919-03-25T00:00:00Z						2026-08-05
Amanda McCabe	Q61055204	Amanda McCabe	Amanda McCabe		author		Amanda McCabe	label_en	Amanda Allen | Amanda Carmack | Eliza Casey | Laurel McKee		Q36180	+1974-00-00T00:00:00Z		Laurel McKee | Amanda Carmack | Amanda Allen | Eliza Casey				2026-08-05
Stephen Schwartz	Q61161331	Stephen Schwartz	Stephen Schwartz		American pathologist and medical doctor		Stephen Schwartz	label_en	Stephen M. Schwartz		Q1622272|Q3368718	+1942-01-01T00:00:00Z	+2020-03-17T00:00:00Z			Stephen Schwartz (pathologist)		2026-08-05
Norman Lewis	Q61161743	Norman G. Lewis	Norman G. Lewis		plant researcher ORCID ID = 0000-0001-5742-032X		Norman Lewis	alias_en	Norman Lewis		Q1650915							2026-08-05
Paul     White	Q61925470	Paul White	Paul White		researcher ORCID ID = 0000-0001-7208-2031		Paul White	label_en	P. White		Q1650915							2026-08-05
Kekla Magoon	Q63105426	Kekla Magoon	Kekla Magoon	Kekla Magoon	American author		Kekla Magoon	label_en			Q4853732|Q1607826|Q62083492	+1980-00-00T00:00:00Z				Kekla Magoon		2026-08-05
Michael  Stewart	Q64399248	Michael Stewart	Michael Stewart		English writer		Michael Stewart	label_en			Q36180	+1971-01-31T00:00:00Z				Michael Stewart (British writer, born 1971)		2026-08-05
David Thomas	Q64605553	David M Thomas	David M Thomas		researcher ORCID 0000-0002-2527-5428		David Thomas	alias_en	Thomas D | David Thomas		Q1650915							2026-08-05
Lisa M. Bitel	Q64878475	Lisa M. Bitel		Lisa M. Bitel	American historian (1958-)		Lisa M. Bitel	label_mul	Lisa Bitel		Q201788	+1958-00-00T00:00:00Z						2026-08-05
John Ridley	Q66012056	John Ridley	John Ridley		English first-class cricketer (1879-1903)		John Ridley	label_en	John Nicholas Ridley		Q12299841	+1879-01-01T00:00:00Z	+1903-03-28T00:00:00Z			John Ridley (cricketer)		2026-08-05
Daniel Silva	Q67205340	Daniel Silva	Daniel Silva		Lawyer		Daniel Silva	label_en			Q40348	+1995-00-00T00:00:00Z			Daniel Silva Orrego			2026-08-05
David Drake	Q68757793	David Drake	David Drake		principal lecturer in French, School of Humanities and Cultural Studies, Middlesex Univ., London		David Drake	label_en			Q37226|Q201788|Q30002353	+1946-11-20T00:00:00Z|+1946-01-01T00:00:00Z						2026-08-05
David Thomas	Q73276230	David Thomas	David Thomas		British field hockey player		David Thomas	label_en			Q10843263	+1927-06-27T00:00:00Z	+2024-06-24T00:00:00Z			David Thomas (field hockey)		2026-08-05
Mary  Stewart	Q75252071	Mary Stewart	Mary Stewart		Peerage person ID=12560		Mary Stewart	label_en										2026-08-05
Unknown	Q75265818	unknown (?)	unknown (?)		Peerage person ID=22960		unknown (?)	label_en										2026-08-05
Mary  Stewart	Q75272219	Lady Mary Stewart	Lady Mary Stewart		Peerage person ID=28234		Mary Stewart	alias_en	Mary Stewart									2026-08-05
John Rutherford	Q75283338	John Rutherford	John Rutherford		Peerage person ID=36745		John Rutherford	label_en										2026-08-05
Charles Spencer	Q75385716	Charles Spencer	Charles Spencer		(1827-1898)		Charles Spencer	label_en	Reverend Charles Vere Spencer | Charles Vere Spencer			+1827-05-17T00:00:00Z	+1898-05-27T00:00:00Z					2026-08-05
Ann Barker	Q75419098	Ann Barker	Ann Barker		Peerage person ID=129821		Ann Barker	label_en										2026-08-05
John Rutherford	Q75453457	John Rutherford	John Rutherford		Peerage person ID=151574		John Rutherford	label_en										2026-08-05
Unknown	Q75456627	unknown (?)	unknown (?)		Peerage person ID=153686		unknown (?)	label_en										2026-08-05
Unknown	Q75457500	unknown (?)	unknown (?)		Peerage person ID=154263		unknown (?)	label_en										2026-08-05
Unknown	Q75466851	unknown (?)	unknown (?)		Peerage person ID=160104		unknown (?)	label_en				+1633-00-00T00:00:00Z						2026-08-05
Unknown	Q75467847	unknown (?)	unknown (?)		Peerage person ID=160710		unknown (?)	label_en										2026-08-05
Unknown	Q75480036	unknown (?)	unknown (?)		Peerage person ID=167589		unknown (?)	label_en										2026-08-05
Unknown	Q75481543	unknown (?)	unknown (?)		Peerage person ID=168400		unknown (?)	label_en										2026-08-05
Mary  Stewart	Q75549286	Lady Mary Stewart	Lady Mary Stewart		died 1903; daughter of Charles Stewart, 4th Earl Castle Stewart, and Charlotte Thompson		Mary Stewart	alias_en	Mary Stewart | Lady Mary Crosse | Mary Crosse				+1903-06-14T00:00:00Z					2026-08-05
Unknown	Q75632985	unknown (?)	unknown (?)		Peerage person ID=259308		unknown (?)	label_en										2026-08-05
John Yeoman	Q75653520	John Yeoman	John Yeoman		Peerage person ID=274158		John Yeoman	label_en										2026-08-05
John  Blackburn	Q75678394	John Blackburn	John Blackburn		Peerage person ID=285269		John Blackburn	label_en										2026-08-05
Suzanne Roberts	Q75699022	Suzanne Lesley Maslin	Suzanne Lesley Maslin		Peerage person ID=292968		Suzanne Roberts	alias_en	Suzanne Maslin | Suzanne Roberts									2026-08-05
Mary Oliver	Q75863999	Mary Chartres	Mary Chartres		(born 1726)		Mary Oliver	alias_en	Mary Oliver			+1726-06-19T00:00:00Z						2026-08-05
Mary Oliver	Q75888794	Mary Oliver	Mary Oliver		Peerage person ID=382738		Mary Oliver	label_en				+1690-00-00T00:00:00Z						2026-08-05
Frances Weaver	Q75895423	Frances Sheila Weaver	Frances Sheila Weaver		(born 1937)		Frances Weaver	alias_en	Frances Weaver | Frances Nicholson			+1937-10-26T00:00:00Z						2026-08-05
Mary  Stewart	Q75912148	Mary Stewart	Mary Stewart		(died 1849)		Mary Stewart	label_en				+1773-00-00T00:00:00Z	+1849-12-06T00:00:00Z					2026-08-05
Unknown	Q75956215	unknown (?)	unknown (?)		Peerage person ID=428570		unknown (?)	label_en										2026-08-05
John Gray	Q75998149	John Gray	John Gray		Peerage person ID=457737		John Gray	label_en										2026-08-05
Unknown	Q76004860	unknown (?)	unknown (?)		Peerage person ID=461813		unknown (?)	label_en										2026-08-05
Mary Oliver	Q76026516	Mary Oliver	Mary Oliver		Peerage person ID=477305		Mary Oliver	label_en										2026-08-05
Mary  Stewart	Q76048270	Mary Stewart	Mary Stewart		Peerage person ID=493692		Mary Stewart	label_en										2026-08-05
Mary  Stewart	Q76064439	Mary Stewart	Mary Stewart		Peerage person ID=505752		Mary Stewart	label_en										2026-08-05
Mary  Stewart	Q76072657	Mary Stewart	Mary Stewart		Peerage person ID=510874		Mary Stewart	label_en										2026-08-05
Unknown	Q76094451	unknown (?)	unknown (?)		Peerage person ID=526560		unknown (?)	label_en										2026-08-05
David Thomas	Q76111224	David Bruce Thomas	David Bruce Thomas		(born 1924)		David Thomas	alias_en	David Thomas			+1924-01-01T00:00:00Z						2026-08-05
John Gray	Q76139261	John Gray	John Gray		Peerage person ID=558479		John Gray	label_en										2026-08-05
Charles Spencer	Q76171067	Charles Peter Spencer	Charles Peter Spencer		(born 1937)		Charles Spencer	alias_en	Charles Spencer			+1937-03-20T00:00:00Z						2026-08-05
Mary  Stewart	Q76177030	Mary Stewart	Mary Stewart		(died 1871)		Mary Stewart	label_en					+1871-01-01T00:00:00Z					2026-08-05
Mary  Stewart	Q76177070	Mary Stewart	Mary Stewart		(1899-1989)		Mary Stewart	label_en				+1899-12-12T00:00:00Z	+1989-01-10T00:00:00Z					2026-08-05
David Thomas	Q76192244	David Thomas	David Thomas		Peerage person ID=593982		David Thomas	label_en										2026-08-05
James Fleming	Q76316438	James Fleming	James Fleming		Peerage person ID=683587		James Fleming	label_en										2026-08-05
Michael Scott	Q76371708	Michael Scott	Michael Scott		(1906-1964)		Michael Scott	label_en	Michael David Llewllyn Scott			+1906-00-00T00:00:00Z	+1964-05-17T00:00:00Z					2026-08-05
Nicholas  Anderson	Q81943187	Nicholas Anderson	Nicholas Anderson		CEO Spirax-Sarco Engineering		Nicholas Anderson	label_en	Nicholas John Anderson		Q484876	+1961-01-00T00:00:00Z						2026-08-05
Michael  Stewart	Q84302870	Michael Stewart	Michael Stewart		medical researcher (ORCID 0000-0002-6207-6428)		Michael Stewart	label_en			Q1650915							2026-08-05
David Mitchell	Q84406756	Seth Mitchell	Seth Mitchell		American marine helicopter pilot		David Mitchell	alias_en	"Captain Seth Mitchell | Capt. Seth Mitchell | David ""Seth"" Mitchell | David Mitchell"		Q2095549		+2009-10-26T00:00:00Z					2026-08-05
Thomas Weldon	Q84510106	Thomas P Weldon	Thomas P Weldon		academic, engineer, researcher		Thomas Weldon	alias_en	Thomas Weldon | TP Weldon		Q1650915|Q1622272|Q3400985|Q81096							2026-08-05
Mark Greenwood	Q87334911	Mark Greenwood	Mark Greenwood		British cellular biology researcher		Mark Greenwood	label_en			Q1650915							2026-08-05
David Drake	Q87700690	David Drake	David Drake		researcher		David Drake	label_en			Q1650915							2026-08-05
Frances Weaver	Q87814246	Frances Heywood	Frances Heywood		British metallurgist and engineer		Frances Weaver	alias_en	Frances Dora Heywood | Frances Dora Weaver | Frances Weaver		Q18576582|Q81096	+1902-04-14T00:00:00Z	+1994-09-18T00:00:00Z			Frances Heywood		2026-08-05
David Mitchell	Q88323014	David Mitchell	David Mitchell		researcher (ORCID 0000-0003-0735-535X)		David Mitchell	label_en			Q1650915							2026-08-05
David Thomas	Q88441549	David R Thomas	David R Thomas		researcher, social and community health, New Zealand		David Thomas	alias_en	David Thomas		Q1650915							2026-08-05
Alan Kaufman	Q89227609	Alan J. Kaufman	Alan J. Kaufman		researcher		Alan Kaufman	alias_en	Alan Kaufman | Alan J Kaufman | A. J. Kaufman | A.J. Kaufman | A J Kaufman		Q1650915							2026-08-05
Suzanne Roberts	Q89471684	Suzanne Roberts	Suzanne Roberts		researcher		Suzanne Roberts	label_en			Q1650915							2026-08-05
Brian Fox	Q91386662	Brian G. Fox	Brian G. Fox		biochemist (ORCID 0000-0001-9027-5371)		Brian Fox	alias_en	Brian Fox		Q2919046							2026-08-05
Lucy Walker	Q91794084	Lucy Walker	Lucy Walker		researcher (ORCID 0000-0003-0354-2342)		Lucy Walker	label_en			Q1650915							2026-08-05
Paul     White	Q92361506	Paul J White	Paul J White		researcher (ORCID 0000-0002-7524-1808)		Paul White	alias_en	Paul White		Q1650915							2026-08-05
David Mitchell	Q94285451	David Mitchell	David Mitchell		of Nantucket		David Mitchell	label_en				+1799-00-00T00:00:00Z	+1875-00-00T00:00:00Z					2026-08-05
David Thomas	Q94416745	David Thomas	David Thomas				David Thomas	label_en				+1818-00-00T00:00:00Z	+1883-00-00T00:00:00Z					2026-08-05
James White	Q94422020	James White	James White				James White	label_en				+1837-00-00T00:00:00Z	+1927-00-00T00:00:00Z					2026-08-05
Wendy Pfeffer	Q95192133	Wendy Pfeffer	Wendy Pfeffer				Wendy Pfeffer	label_en			Q2504617|Q121594	+1951-00-00T00:00:00Z						2026-08-05
Ellen Douglas	Q95647617	Ellen Douglas	Ellen Douglas		actress		Ellen Douglas	label_en			Q33999							2026-08-05
Antonie Schneider	Q95660869	Antonie Schneider	Antonie Schneider				Antonie Schneider	label_en										2026-08-05
Wendy Jones	Q96031455	Wendy Jones	Wendy Jones		researcher		Wendy Jones	label_en			Q1650915							2026-08-05
Unknown	Q96074297	Unknown	Unknown				Unknown	label_en										2026-08-05
Unknown	Q96075792	Unknown	Unknown				Unknown	label_en										2026-08-05
Unknown	Q96086555	Unknown	Unknown				Unknown	label_en				+1758-01-01T00:00:00Z	+1780-01-21T00:00:00Z					2026-08-05
Cyrus Hamlin	Q96217020	Cyrus Hamlin	Cyrus Hamlin		(1769-1829)		Cyrus Hamlin	label_en	Dr. Cyrus Hamlin			+1769-07-02T00:00:00Z	+1829-02-03T00:00:00Z					2026-08-05
Victoria Patterson	Q96635009	Victoria C Patterson	Victoria C Patterson		researcher		Victoria Patterson	alias_en	Victoria Patterson		Q1650915							2026-08-05
James White	Q97643691	James P White	James P White		researcher		James White	alias_en	James White		Q1650915							2026-08-05
Michael Talbot	Q98091509	Michael Talbot	Michael Talbot				Michael Talbot	label_en										2026-08-05
J.S.  Lee	Q98448949	Jaison Lee	Jaison Lee		South Korean particle physicist		J S Lee	alias_en	J S Lee | J.S. Lee | J. S. Lee		Q1650915							2026-08-05
James White	Q98759527	James White	James White				James White	label_en			Q3391743	+1967-01-01T00:00:00Z						2026-08-05
David  Dean	Q99555855	David Dean	David Dean		researcher ORCID 0000-0003-2534-8065		David Dean	label_en			Q1650915							2026-08-05
James      Conway	Q99608062	James Conway	James Conway		researcher		James Conway	label_en			Q1650915							2026-08-05
Amanda  Roberts	Q99610576	Amanda Roberts	Amanda Roberts		researcher ORCID 0000-0002-0153-0316		Amanda Roberts	label_en			Q1650915							2026-08-05
J.T. Lewis	Q99693437	J. T. Lewis	J. T. Lewis				J. T. Lewis	label_en			Q639669	+1954-00-00T00:00:00Z						2026-08-05
John Sherwood	Q100922338	John Sherwood	John Sherwood	John Sherwood	college basketball player (1964–1965) Drake		John Sherwood	label_en			Q3665646							2026-08-05
Michael Scott	Q100985697	Michael Scott	Michael Scott	Michael Scott	college basketball player (1988–1991) Tulsa		Michael Scott	label_en			Q3665646							2026-08-05
Michael  Stewart	Q100986255	Michael Stewart	Michael Stewart		college basketball player (1991–1992) Texas State		Michael Stewart	label_en			Q3665646							2026-08-05
James White	Q100986950	James White	James White		college basketball player (1980–1980) Mississippi Valley State		James White	label_en			Q3665646							2026-08-05
David   Robbins	Q101225211	David L Robbins	David L Robbins	David L Robbins	researcher		David Robbins	alias_en	David Robbins		Q1650915							2026-08-05
Johnny Stanton	Q102183750	Johnny Stanton	Johnny Stanton	Johnny Stanton	American football fullback		Johnny Stanton	label_en	Johnny Richard Stanton IV		Q19204627	+1994-09-07T00:00:00Z				Johnny Stanton		2026-08-05
James      Conway	Q102452534	James Conway	James Conway		Ph.D. Georgia Institute of Technology 2016		James Conway	label_en										2026-08-05
John Rutherford	Q104207906	John Rutherford	John Rutherford	John Rutherford	Minister of the Church of Scotland		John Rutherford	label_en			Q1423891							2026-08-05
David Thomas	Q104840221	David Thomas	David Thomas		American football player		David Thomas	label_en			Q19204627|Q19841381	+1951-09-11T00:00:00Z				David Thomas (gridiron football)		2026-08-05
Michael  Stewart	Q104856114	Michael Stewart	Michael Stewart		US music executive		Michael Stewart	label_en			Q3089940|Q43845		+1999-01-01T00:00:00Z			Michael Stewart (music executive)		2026-08-05
Graeme   Smith	Q105144709	Graeme Smith	Graeme Smith	Graeme Smith	British judge		Graeme Smith	label_en	Graeme David Smith		Q16533	+1963-11-16T00:00:00Z						2026-08-05
Paul     White	Q105681258	Paul L. White	Paul L. White		physician (1922-2012)		Paul White	alias_en	Paul L White | Paul White		Q39631	+1922-05-12T00:00:00Z	+2012-06-17T00:00:00Z					2026-08-05
John Bigelow	Q106975151	John Bigelow	John Bigelow	John Bigelow	politician in Massachusetts, US (1841–1917)		John Bigelow	label_en			Q82955|Q189290	+1841-01-01T00:00:00Z|+1841-02-04T00:00:00Z	+1917-09-13T00:00:00Z					2026-08-05
James White	Q107007015	James White	James White		American baseball player		James White	label_en			Q10871364					James White (baseball)		2026-08-05
Mary  Stewart	Q107224010	Mary Stewart	Mary Stewart		person in the Aberdeen Register of Returned Convicts 1869-1939		Mary Stewart	label_en	Mary Stewart1			+1835-00-00T00:00:00Z						2026-08-05
Helen Taylor	Q107269954	Helen Taylor	Helen Taylor		Welsh political candidate		Helen Taylor	label_en			Q82955							2026-08-05
John Gray	Q107863969	John Gray	John Gray	John Gray	Scottish nightwatchman and owner of Greyfriars Bobby		John Gray	label_en	Auld Jock		Q758780|Q7973168		+1858-02-15T00:00:00Z			John Gray (nightwatchman)		2026-08-05
Margaret Pemberton	Q108271698	Margaret Throckmorton Pemberton	Margaret Throckmorton Pemberton	Margaret Throckmorton Pemberton	(1517-1576)		Margaret Pemberton	alias_en	Margaret Throckmorton | Margaret Pemberton | Mrs. Robert Pemberton			+1517-00-00T00:00:00Z|+1516-11-30T00:00:00Z	+1576-00-00T00:00:00Z|+1575-11-30T00:00:00Z					2026-08-05
David Thomas	Q109278315	David Thomas	David Thomas	David Thomas	jewelry designer (born 1938)		David Thomas	label_en			Q2519376|Q1622272|Q2216340	+1938-00-00T00:00:00Z						2026-08-05
Suzanne Roberts	Q110062694	Suzanne Fleisher Roberts	Suzanne Fleisher Roberts	Suzanne Fleisher Roberts	actor and author		Suzanne Roberts	alias_en	Suzanne Roberts | Suzanne Fleisher		Q33999|Q947873|Q12362622|Q36180	+1921-00-00T00:00:00Z	+2020-04-20T00:00:00Z		Suzanne Fleisher			2026-08-05
David Thomas	Q110275203	David Thomas	David Thomas		researcher (archaeology)		David Thomas	label_en	David C Thomas		Q1650915|Q3621491	+1971-00-00T00:00:00Z						2026-08-05
Mary Reed	Q110494794	Mary J. Hildeburn	Mary J. Hildeburn	Mary J. Hildeburn	American author and teacher 1821-1882		Mary Reed	alias_en	Mary Jane Reed | Mary J. Reed | Marie Roseau | Mary Reed		Q36180	+1821-01-01T00:00:00Z	+1882-01-01T00:00:00Z					2026-08-05
David Thomas	Q110523657	David Thomas	David Thomas	David Thomas	historian		David Thomas	label_en			Q201788							2026-08-05
Sarah M. Ross	Q110741223	Sarah Ross	Sarah Ross	Sarah Ross	German ethnomusicologist		Sarah M. Ross	alias_en	Sarah M. Ross | Sarah Maria Ross		Q1371378|Q1622272|Q14915627|Q10333969|Q17484288	+1977-11-29T00:00:00Z						2026-08-05
Mary  Stewart	Q110969414	Mary Smart	Mary Smart	Mary Smart	earliest known Sierra Leonean resident in Reading, Berkshire, England, UK (1832-1849)		Mary Stewart	alias_en	Mary Stewart							Mary Smart		2026-08-05
Dave Jackson	Q111029247	J. David Jackson	J. David Jackson		American writer, often with Neta Jackson		Dave Jackson	alias_en	Dave Jackson | Jimmie David Jackson		Q36180|Q6625963	+1944-07-16T00:00:00Z						2026-08-05
Helen Taylor	Q111665989	Helen Taylor	Helen Taylor		actress		Helen Taylor	label_en			Q33999							2026-08-05
Miryam	Q111841779	Miryam	Miryam	Miryam	Romanian singer of Palestine origin		Miryam	label_en			Q177220							2026-08-05
David Thomas	Q111909153	Dave W Thomas	Dave W Thomas	Dave W Thomas	British surgery academic		David Thomas	alias_en	David W Thomas | David W. Thomas | David Thomas | Dave W. Thomas | Dave Thomas		Q6041367|Q1622272							2026-08-05
Isabelle Brent	Q112402565	Isabelle Brent	Isabelle Brent	Isabelle Brent			Isabelle Brent	label_en			Q644687	+1961-00-00T00:00:00Z						2026-08-05
Susan Dexter	Q112469081	Susan Dexter	Susan Dexter	Susan Dexter	American fantasy writer		Susan Dexter	label_en			Q36180|Q182436|Q37226	+1955-00-00T00:00:00Z|+1955-07-20T00:00:00Z						2026-08-05
James White	Q112493210	James White	James White		1808 -		James White	label_en										2026-08-05
John Gray	Q112493690	John Gray	John Gray	John Gray			John Gray	label_en			Q864503|Q1622272	+1965-00-00T00:00:00Z						2026-08-05
Peter F. Stevens	Q112517202	Peter F. Stevens	Peter F. Stevens	Peter F. Stevens			Peter F. Stevens	label_en			Q1930187|Q36180	+1955-00-00T00:00:00Z						2026-08-05
