selection_title	selection_author	selection_year	matched_title	matched_author	openlibrary_record_year	openlibrary_work_key	openalex_title_author_count	openalex_literary_terms_count	openalex_status	openalex_risk_flags	openlibrary_edition_count	hathitrust_volume_count	wikidata_qid	metadata_flags	bibliographic_note	jstor_ll_candidate_count	jstor_ll_relevant_count	jstor_ll_unclear_count	jstor_ll_unrelated_count	work_key	sampled_n	include_substantive_n	include_mention_n	exclude_non_scholarly_n	exclude_unrelated_n	unclear_n	scholarly_rate	estimated_scholarly_count	openalex_semantic_visibility	work_key_base	gr_ratings	gr_reviews	gr_match	reader_signal	quality_flags	selected_work_edition_count	strict_matching_work_count	strict_merged_edition_count	additional_editions_from_split_works	edition_inflation_ratio	strict_matching_work_keys	openlibrary_edition_count_original	openlibrary_edition_count_merged	manual_matching_work_count	manual_added_edition_count	final_matching_work_count	final_merged_edition_count	final_additional_editions	openlibrary_edition_count_final	hathitrust_htid_count_final	hathitrust_pd_count_final	hathitrust_source_final	hathitrust_review_status	hathitrust_volume_count_original	academic_reader_residual	residual_z	jstor_reader_residual	jstor_residual_z	academic_reader_residual_combined	configuration	academic_reader_configuration	ol_level_exploratory	hathi_level_exploratory	configuration_3way	log_academic_openalex	z_academic_openalex	log_academic_jstor	z_academic_jstor	log_reader_goodreads	z_reader_goodreads	log_bibliographic_ol	z_bibliographic_ol	log_digitization_hathi	z_digitization_hathi
Autobiography of Alice B Toklas	Gertrude Stein	1933	The Autobiography of Alice B. Toklas	Gertrude Stein	1933	/works/OL37277W	70	58	use_title_author	canonical_preserved	83	2	Q6618986	title_variant		6	6	0	0	/works/OL37277W	40.0	23.0	3.0	9.0	2.0	3.0	0.7027027027027027	49.18918918918919	49.18918918918919	/works/OL37277W	6663	522	UNIQUE	6663		83	1	83	0	1.0	/works/OL37277W	83	83	0	0	1	83	0	83	2	0	api	accepted	2	0.2330568885415367	0.2185956629562662	-0.3463859716458228	-0.2852918613410758	-0.0333480991924048	roughly_balanced	roughly_balanced	low	low	roughly_balanced__ol_low__hathi_low	3.9157996487084814	0.0915661589919654	1.9459101490553128	-0.2706881147686175	8.804475183846678	0.057083587134835	4.430816798843313	-0.3009998504163118	1.0986122886681096	-0.1916615135060486
Java Head	Joseph Hergesheimer	1919	Java Head	Joseph Hergesheimer	1918	/works/OL4902750W	1	0	use_with_warning_short_title	short_title_len_le_2|ta_without_lit_terms|canonical_preserved	27	2	Q107000085	year_discrepancy; openalex:use_with_warning_short_title		0	0	0	0	/works/OL4902750W	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	/works/OL4902750W	15	4	UNIQUE	15	short_or_general_title	27	1	27	0	1.0	/works/OL4902750W	27	27	0	0	1	27	0	27	2	2	api	accepted	2	0.0584037584655011	0.0547797938125673	-0.1511394386524679	-0.1244820959992472	-0.0348511510933399	roughly_balanced	roughly_balanced	low	low	roughly_balanced__ol_low__hathi_low	0.6931471805599453	-1.5077917252287183	0.0	-1.4800202472911517	2.772588722239781	-1.46384402657004	3.332204510175204	-0.9450072696172794	1.0986122886681096	-0.1916615135060486
The Financier	Theodore Dreiser	1912	The Financier	Theodore Dreiser	1912	/works/OL100237W	35	29	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	352	1	Q577607	openalex:use_with_warning_short_title		6	6	0	0	/works/OL100237W	35.0	25.0	1.0	5.0	3.0	1.0	0.7647058823529411	26.76470588235294	26.76470588235294	/works/OL100237W	3486	134	UNIQUE	3486	short_or_general_title	352	1	352	0	1.0	/works/OL100237W	352	352	0	0	1	352	0	352	1	0	api	accepted	1	-0.0316960025312833	-0.0297292593655927	-0.1164777364614455	-0.0959338800067186	-0.0628315696861557	roughly_balanced	roughly_balanced	high	low	roughly_balanced__ol_high__hathi_low	3.3237656415293397	-0.2022521371064407	1.9459101490553128	-0.2706881147686175	8.156797046675651	-0.1062271067726769	5.8664680569332965	0.5405800874123871	0.6931471805599453	-0.735997233902501
The Picture of Dorian Gray	Oscar Wilde	1890	The Picture of Dorian Gray	Oscar Wilde	1890	/works/OL8193416W	504	377	use_title_author	canonical_preserved	3012	2	Q82464			34	34	0	0	/works/OL8193416W	40.0	30.0	3.0	3.0	0.0	4.0	0.9166666666666666	462.0	462.0	/works/OL8193416W	694769	20302	RATINGS_MAX	694769		3012	1	3012	0	1.0	/works/OL8193416W	3012	3012	1	2	2	3014	2	3014	2	2	api	accepted	2	0.1068583482584752	0.1002277668175847	-0.3864581152155173	-0.3182962476694412	-0.1090342404259282	roughly_balanced	roughly_balanced	high	low	roughly_balanced__ol_high__hathi_low	6.137727054086234	1.194278024165112	3.555348061489413	0.7295353455753475	13.451336134523975	1.2287799016986196	8.011355109161286	1.7979146259305665	1.0986122886681096	-0.1916615135060486
Gone to Earth	Mary Webb	1917	Gone to Earth	Mary Gladys Meredith Webb	1917	/works/OL4390503W	8	6	use_title_author	canonical_preserved	15	1	Q109284453	author_variant_or_source_error		4	2	2	0	/works/OL4390503W	8.0	4.0	1.0	2.0	1.0	0.0	0.625	5.0	5.0	/works/OL4390503W	346	50	YEAR_AUTH	346		15	1	15	0	1.0	/works/OL4390503W	15	15	1	72	2	87	72	87	1	0	api	accepted	1	-0.3977031152719585	-0.3730255590671026	-0.1446853016324252	-0.1191663126981814	-0.246095935882642	roughly_balanced	roughly_balanced	low	low	roughly_balanced__ol_low__hathi_low	1.791759469228055	-0.9625656287292292	1.0986122886681096	-0.7972615173901539	5.849324779946859	-0.6880514349764721	4.477336814478207	-0.2737297793282329	0.6931471805599453	-0.735997233902501
Maggie, a girl of the streets	Stephen Crane	1892	Maggie, a girl of the streets	Crane, Stephen	1893	/works/OL20839W	49	34	use_title_author	canonical_preserved	260	1		author_variant_or_source_error; year_discrepancy; wikidata_unresolved		4	4	0	0	/works/OL20839W	40.0	26.0	3.0	8.0	1.0	2.0	0.7631578947368421	37.39473684210527	37.39473684210527	/works/OL20839W	6282	309	MANUAL_FIX	6282		260	2	261	1	1.0038461538461538	/works/OL20839W|/works/OL33165447W	260	261	1	2	3	263	3	263	1	1	api	accepted	1	-0.0050733320917992	-0.004758530841737	-0.6619601216301481	-0.5452063613780804	-0.2749824461099087	roughly_balanced	roughly_balanced	low	low	roughly_balanced__ol_low__hathi_low	3.6479203887964	-0.041378615722055	1.6094379124341005	-0.4797967869471867	8.745602852402946	0.0422390513257004	5.575949103146316	0.3702776398727343	0.6931471805599453	-0.735997233902501
For Whom the Bell Tolls	Ernest Hemingway	1949	For Whom the Bell Tolls	Ernest Hemingway	1940	/works/OL63009W	249	157	use_title_author	canonical_preserved	182	1	Q200920	year_discrepancy		17	17	0	0	/works/OL63009W	40.0	29.0	3.0	6.0	1.0	1.0	0.8205128205128205	204.3076923076923	204.3076923076923	/works/OL63009W	209824	4798	UNIQUE	209824		182	1	182	0	1.0	/works/OL63009W	182	182	0	0	1	182	0	182	1	0	api	accepted	1	-0.1013423931520991	-0.0950540778060265	-0.6264227890700913	-0.5159369550421853	-0.3054955164241059	roughly_balanced	roughly_balanced	low	low	roughly_balanced__ol_low__hathi_low	5.324509791942988	0.7906895352889318	2.8903717578961645	0.3162700097160416	12.254029128951029	0.9268814328781252	5.209486152841421	0.1554567596650812	0.6931471805599453	-0.735997233902501
This Side of Paradise	F Scott Fitzgerald	1920	This Side of Paradise	F. Scott Fitzgerald	1920	/works/OL468488W	99	76	use_title_author	canonical_preserved	495	1	Q2581681			11	10	1	0	/works/OL468488W	40.0	22.0	2.0	6.0	7.0	3.0	0.6486486486486487	64.21621621621622	64.21621621621622	/works/OL468488W	48583	2875	YEAR_AUTH	48583		495	1	495	0	1.0	/works/OL468488W	495	495	0	0	1	495	0	495	1	1	api	accepted	1	-0.5088793170863974	-0.4773032557817206	-0.5995810562755737	-0.4938294549197562	-0.4855663553507384	roughly_balanced	roughly_balanced	high	low	roughly_balanced__ol_high__hathi_low	4.177708152980808	0.2215477301953436	2.3978952727983707	0.010208787809342	10.791049537577411	0.5579941746431543	6.206575926724928	0.7399515979386239	0.6931471805599453	-0.735997233902501
The Time Machine	H. G. Wells	1895	The Time Machine	H. G. Wells	1895	/works/OL52267W	233	193	use_with_warning_risky_author	observed_risky_author_last:wells|canonical_preserved	1146	2	Q627333	openalex:use_with_warning_risky_author		23	20	3	0	/works/OL52267W	40.0	22.0	1.0	7.0	8.0	2.0	0.6052631578947368	141.02631578947367	141.02631578947367	/works/OL52267W	311720	7629	YEAR_AUTH	311720		1146	2	1147	1	1.0008726003490402	/works/OL52267W|/works/OL32699938W	1146	1147	1	39	3	1186	40	1186	2	2	api	accepted	2	-0.6698608160705835	-0.6282958212208233	-0.6127827327919801	-0.5047026748954181	-0.5664992480581207	roughly_balanced	roughly_balanced	high	low	roughly_balanced__ol_high__hathi_low	4.956012362892257	0.6078093537327945	3.044522437723423	0.4120706151323803	12.649863835959538	1.026690330174849	7.079184394609668	1.2514753931590976	1.0986122886681096	-0.1916615135060486
Ethan Frome	Edith Wharton	1911	Ethan Frome	Edith Wharton	1910	/works/OL98501W	83	55	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	1000	12	Q5402934	year_discrepancy; openalex:use_with_warning_short_title		14	14	0	0	/works/OL98501W	40.0	22.0	3.0	9.0	3.0	3.0	0.6756756756756757	56.08108108108108	56.08108108108108	/works/OL98501W	84941	4293	YEAR_AUTH	84941	short_or_general_title	1000	1	1000	0	1.0	/works/OL98501W	1000	1000	1	2	2	1002	2	1002	12	10	title_fallback_reviewed	accepted	12	-0.9244209863450664	-0.8670604830664359	-0.487740446063424	-0.4017148242107192	-0.6343876536385775	roughly_balanced	roughly_balanced	high	high	roughly_balanced__ol_high__hathi_high	4.044472732181927	0.1554248321111535	2.70805020110221	0.2029619429538112	11.349723949622552	0.6988627645541502	6.910750787961936	1.1527394756358895	2.5649493574615367	1.7768917077806654
Strange Case of Dr Jekyll and Mr Hyde	Robert Louis Stevenson	1886	Strange case of Dr. Jekyll and Mr. Hyde	Robert Louis Stevenson	1886	/works/OL44014215W	196	153	use_title_author	canonical_preserved	1	2	Q217352			10	10	0	0	/works/OL44014215W	40.0	28.0	2.0	5.0	3.0	2.0	0.7894736842105263	154.73684210526315	154.73684210526315	/works/OL44014215W	268131	8340	RATINGS_MAX	268131		1	4	20	19	20.0	/works/OL24120W|/works/OL44014215W|/works/OL33078608W|/works/OL22708002W	1	20	2	2	6	22	21	22	2	2	api	accepted	2	-0.5015904156746114	-0.4704666321302886	-1.205940616526865	-0.993241849607979	-0.7318542408691338	roughly_balanced	roughly_balanced	low	low	roughly_balanced__ol_low__hathi_low	5.0481676732337695	0.6535447607070934	2.3978952727983707	0.010208787809342	12.499234675549738	0.9887095009674944	3.1354942159291497	-1.06031900446165	1.0986122886681096	-0.1916615135060486
The Crock of Gold	Stephens James	1913	The Crock of Gold	Stephens, James	1912	/works/OL1154817W	3	0	use_title_author	ta_without_lit_terms|canonical_preserved	155	1	Q7728134	year_discrepancy	Author-name order is normalized; the source-list year and Open Library record year differ.	1	1	0	0	/works/OL1154817W	3.0	1.0	2.0	0.0	0.0	0.0	1.0	3.0	3.0	/works/OL1154817W	490	69	YEAR_AUTH	490		155	0	0	-155	0.0		155	0	0	0	3	183	28	183	1	1	api	accepted	1	-0.9785726427448028	-0.9178520185793224	-0.6733683973209456	-0.5546024930720269	-0.7362272558256746	roughly_balanced	roughly_balanced	low	low	roughly_balanced__ol_low__hathi_low	1.3862943611198906	-1.163792358523568	0.6931471805599453	-1.049247450085954	6.19644412779452	-0.6005260140732259	5.214935757608986	0.1586513224223204	0.6931471805599453	-0.735997233902501
The Jungle	Upton Sinclair	1906	The jungle	Upton Sinclair	1906	/works/OL44622934W	104	72	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	1	11		openalex:use_with_warning_short_title; wikidata_unresolved		53	8	12	33	/works/OL44622934W	40.0	21.0	9.0	8.0	0.0	2.0	0.7894736842105263	82.10526315789474	82.10526315789474	/works/OL44622934W	111017	4820	YEAR_AUTH	111017	short_or_general_title|known_jstor_ambiguous_title	1	1	1	0	1.0	/works/OL44622934W	1	1	0	0	1	1	0	1	11	10	title_fallback_reviewed	accepted	11	-0.6840703250945896	-0.6416236274265261	-1.0936007408819322	-0.9007160118170122	-0.7711698196217691	roughly_balanced	roughly_balanced	low	high	roughly_balanced__ol_low__hathi_high	4.420108035089202	0.341847441819835	2.19722457733622	-0.1145027874891559	11.61744762930977	0.766368733022014	0.6931471805599453	-2.492024827585229	2.4849066497880004	1.6694346071012796
Treasure Island	Robert Louis Stevenson	1882	Treasure Island	Robert Louis Stevenson	1880	/works/OL24034W	155	111	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	1988	2	Q185118	year_discrepancy; openalex:use_with_warning_short_title		18	16	2	0	/works/OL24034W	40.0	20.0	6.0	6.0	6.0	2.0	0.6842105263157895	106.05263157894736	106.05263157894736	/works/OL24034W	318348	8178	RATINGS_MAX	318348	short_or_general_title	1988	7	2012	24	1.012072434607646	/works/OL24034W|/works/OL29223843W|/works/OL42471516W|/works/OL33137271W|/works/OL44771924W|/works/OL42692984W|/works/OL39458064W	1988	2012	3	17	10	2029	41	2029	2	2	api	accepted	2	-0.963184249959955	-0.9034184785810584	-0.831560354301542	-0.6848932136856428	-0.7941558461333507	roughly_balanced	roughly_balanced	high	low	roughly_balanced__ol_high__hathi_low	4.673320597442065	0.4675133372228971	2.833213344056216	0.2807475543065625	12.670903544243442	1.031995448816747	7.615791072035833	1.566034664905629	1.0986122886681096	-0.1916615135060486
A Room with a View	E. M. Forster	1908	A Room with a View	E. M. Forster	1905	/works/OL88813W	85	60	use_title_author	canonical_preserved	692	1	Q120288	year_discrepancy		10	8	2	0	/works/OL88813W	40.0	31.0	0.0	5.0	3.0	1.0	0.7948717948717948	67.56410256410255	67.56410256410255	/works/OL88813W	123549	4091	YEAR_AUTH	123549		692	2	694	2	1.0028901734104043	/works/OL88813W|/works/OL42221492W	692	694	1	8	3	702	10	702	1	0	api	accepted	1	-0.9304544382521058	-0.8727195581008087	-1.1315663721077565	-0.9319854236466552	-0.902352490873732	roughly_balanced	roughly_balanced	high	low	roughly_balanced__ol_high__hathi_low	4.2277691115322416	0.2463922921027216	2.19722457733622	-0.1145027874891559	11.724401211416756	0.7933368560870876	6.555356891810665	0.9444072839965332	0.6931471805599453	-0.735997233902501
Nineteen Eighty-Four	George Orwell	1949	Nineteen Eighty-Four	George Orwell	1949	/works/OL1168083W	437	302	use_title_author	canonical_preserved	532	4	Q208460			20	20	0	0	/works/OL1168083W	40.0	25.0	4.0	8.0	2.0	1.0	0.7435897435897436	324.948717948718	324.948717948718	/works/OL1168083W	2125871	47197	UNIQUE	2125871	short_or_general_title	532	1	532	0	1.0	/works/OL1168083W	532	532	0	0	1	532	0	532	4	0	title_fallback_reviewed	accepted	4	-0.8092503311141703	-0.7590361895522867	-1.294270070958596	-1.065992123951759	-0.9125141567520229	roughly_balanced	roughly_balanced	high	high	roughly_balanced__ol_high__hathi_high	5.786740062086905	1.020088030530603	3.044522437723423	0.4120706151323803	14.569692629110088	1.5107711635382983	6.278521424165844	0.7821261071881301	1.6094379124341005	0.4941203906558518
The Beautiful and the Damned	F Scott Fitzgerald	1922	The Beautiful and Damned	F. Scott Fitzgerald	1920	/works/OL468362W	52	46	use_title_author	canonical_preserved	495	1	Q2531205	title_variant; year_discrepancy		4	4	0	0	/works/OL468362W	40.0	25.0	2.0	7.0	3.0	3.0	0.7297297297297297	37.94594594594594	37.94594594594594	/works/OL468362W	34554	2119	YEAR_AUTH	34554		495	2	496	1	1.002020202020202	/works/OL468362W|/works/OL38803607W	495	496	0	0	2	496	1	496	1	1	api	accepted	1	-0.8522309327810791	-0.7993498364667079	-1.267084214824085	-1.0436011955261248	-0.9214755159964164	roughly_balanced	roughly_balanced	high	low	roughly_balanced__ol_high__hathi_low	3.6621746833552975	-0.0343044063209171	1.6094379124341005	-0.4797967869471867	10.450307536525496	0.4720767884576631	6.208590026096629	0.7411322646321997	0.6931471805599453	-0.735997233902501
King Coal	Upton Sinclair	1917	King Coal	Upton Sinclair	1905	/works/OL115067W	6	5	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	86	2	Q16386559	year_discrepancy; openalex:use_with_warning_short_title		0	0	0	0	/works/OL115067W	6.0	2.0	1.0	3.0	0.0	0.0	0.5	3.0	3.0	/works/OL115067W	407	32	UNIQUE	407	short_or_general_title	86	1	86	0	1.0	/works/OL115067W	86	86	0	0	1	86	0	86	2	2	api	accepted	2	-0.8850000539779816	-0.8300856272745153	-1.3007827638372462	-1.0713561352737668	-0.950720881274141	roughly_balanced	roughly_balanced	low	low	roughly_balanced__ol_low__hathi_low	1.3862943611198906	-1.163792358523568	0.0	-1.4800202472911517	6.0112671744041615	-0.6472179973566958	4.465908118654584	-0.2804292901366615	1.0986122886681096	-0.1916615135060486
Peter Pan	J. M. Barrie	1911	Peter Pan	J. M. Barrie	1911	/works/OL462007W	241	139	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	441	1	Q3435337	openalex:use_with_warning_short_title		12	4	4	4	/works/OL462007W	40.0	24.0	0.0	13.0	1.0	2.0	0.631578947368421	152.21052631578945	152.21052631578945	/works/OL462007W	201220	7710	RATINGS_MAX	201220	short_or_general_title	441	2	448	7	1.0158730158730158	/works/OL8137276W|/works/OL462007W	441	448	3	25	5	473	32	473	1	0	api	accepted	1	-0.3728816829065069	-0.3497443014419584	-1.892493900652198	-1.558703734242899	-0.9542240178424288	roughly_balanced	roughly_balanced	high	low	roughly_balanced__ol_high__hathi_low	5.031812964579182	0.645428144817117	1.6094379124341005	-0.4797967869471867	12.212159085518614	0.916323988594531	6.161207321695077	0.7133564846858456	0.6931471805599453	-0.735997233902501
The Moon and Sixpence	W Somerset Maugham	1919	The moon and sixpence	W. Somerset Maugham	1919	/works/OL505740W	41	30	use_title_author	canonical_preserved	397	2		wikidata_unresolved		1	1	0	0	/works/OL505740W	40.0	32.0	0.0	4.0	3.0	1.0	0.8205128205128205	33.64102564102564	33.64102564102564	/works/OL505740W	13440	851	UNIQUE	13440		397	1	397	0	1.0	/works/OL505740W	397	397	0	0	1	397	0	397	2	2	api	accepted	2	-0.4922275425148004	-0.4616847270840468	-1.8481943701051755	-1.522217569788126	-0.9919511484360864	roughly_balanced	roughly_balanced	high	low	roughly_balanced__ol_high__hathi_low	3.5450386918305523	-0.092437380143794	0.6931471805599453	-1.049247450085954	9.506065016071148	0.2339880027130583	5.986452005284438	0.6109147757461928	1.0986122886681096	-0.1916615135060486
The Red Axe	S R Crockett	1898	The Red Axe	S. R. Crockett	1898	/works/OL2339087W	0	0	zero_title_author	canonical_preserved	28	1		openalex:zero_title_author; wikidata_unresolved		0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	/works/OL2339087W	0	0	NO_MATCH	0		28	1	28	0	1.0	/works/OL2339087W	28	28	0	0	1	28	0	28	1	1	title_fallback_reviewed	accepted	1							no_reader_data	low	low	no_reader_data__ol_low__hathi_low	0.0	-1.8517910919338687	0.0	-1.4800202472911517	0.0		3.367295829986474	-0.924436709337629	0.6931471805599453	-0.735997233902501
Senator North	Gertrude Atherton	1900	Senator North	Atherton, Gertrude Franklin Horn	1900	/works/OL1797270W	0	0	zero_title_author	short_title_len_le_2|canonical_preserved	29	4		author_variant_or_source_error; openalex:zero_title_author; wikidata_unresolved		0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	/works/OL1797270W	0	0	NO_MATCH	0	short_or_general_title	29	1	29	0	1.0	/works/OL1797270W	29	29	0	0	1	29	0	29	4	4	api	accepted	4							no_reader_data	low	high	no_reader_data__ol_low__hathi_high	0.0	-1.8517910919338687	0.0	-1.4800202472911517	0.0		3.4011973816621555	-0.9045635921089544	1.6094379124341005	0.4941203906558518
The Homeward Trail	Waldron Baily	1916	The Homeward Trail	Waldron Baily	1916	/works/OL13144755W	0	0	zero_title_author	canonical_preserved	3	2		openalex:zero_title_author; wikidata_unresolved		0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	/works/OL13144755W	0	0	NO_MATCH_AUTH	0		3	1	3	0	1.0	/works/OL13144755W	3	3	0	0	1	3	0	3	2	2	api	accepted	2							no_reader_data	low	low	no_reader_data__ol_low__hathi_low	0.0	-1.8517910919338687	0.0	-1.4800202472911517	0.0		1.3862943611198906	-2.0857013852905726	1.0986122886681096	-0.1916615135060486
Looking Backward	Edward Bellamy	1887	Looking backward	Bellamy, Edward	1941	/works/OL18814811W	106	76	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	1	0	Q1305106	author_variant_or_source_error; year_discrepancy; openalex:use_with_warning_short_title		24	16	7	1	/works/OL18814811W	40.0	25.0	3.0	6.0	5.0	1.0	0.717948717948718	76.1025641025641	76.1025641025641	/works/OL18814811W	0	0	NO_MATCH_AUTH	0	short_or_general_title	1	3	11	10	11.0	/works/OL18814811W|/works/OL2981504W|/works/OL15638797W	1	11	3	121	6	132	131	132	0	0	none	no_current_match	0							no_reader_data	low	low	no_reader_data__ol_low__hathi_low	4.345136536858883	0.3046401233231603	2.833213344056216	0.2807475543065625	0.0		4.890349128221754	-0.0316216243260133	0.0	-1.666545294206165
Hearts courageous	Hallie Rives	1902	Hearts courageous	Rives, Hallie Erminie	1902	/works/OL1799163W	0	0	zero_title_author	short_title_len_le_2|canonical_preserved	2	5		author_variant_or_source_error; openalex:zero_title_author; wikidata_unresolved		3	3	0	0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	/works/OL1799163W	0	0	NO_MATCH	0	short_or_general_title	2	1	2	0	1.0	/works/OL1799163W	2	2	0	0	1	2	0	2	5	5	api	accepted	5							no_reader_data	low	high	no_reader_data__ol_low__hathi_high	0.0	-1.8517910919338687	1.3862943611198906	-0.6184746528807561	0.0		1.0986122886681096	-2.254340850678919	1.791759469228055	0.7388865467976155
Alas	Rhoda Broughton	1890	Alas!	Rhoda Broughton	1890	/works/OL1487721W	1	1	use_with_warning_short_title	short_title_len_le_2|huge_phrase_with_author_check_needed|canonical_preserved	3	11		openalex:use_with_warning_short_title; wikidata_unresolved		75	2	16	57	/works/OL1487721W	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	/works/OL1487721W	0	0	NO_MATCH	0	short_or_general_title	3	1	3	0	1.0	/works/OL1487721W	3	3	0	0	1	3	0	3	11	11	api	accepted	11							no_reader_data	low	high	no_reader_data__ol_low__hathi_high	0.0	-1.8517910919338687	1.0986122886681096	-0.7972615173901539	0.0		1.3862943611198906	-2.0857013852905726	2.4849066497880004	1.6694346071012796
Stepsons Of Light	Eugene Manlove Rhodes	1921	Stepsons of light	Eugene Manlove Rhodes	1921	/works/OL2107271W	0	0	zero_title_author	canonical_preserved	5	3		openalex:zero_title_author; wikidata_unresolved		0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	/works/OL2107271W	0	0	NO_MATCH_AUTH	0		5	1	5	0	1.0	/works/OL2107271W	5	5	0	0	1	5	0	5	3	3	api	accepted	3							no_reader_data	low	high	no_reader_data__ol_low__hathi_high	0.0	-1.8517910919338687	0.0	-1.4800202472911517	0.0		1.791759469228055	-1.8480174083842624	1.3862943611198906	0.1945508264011629
Megda	Emma Kelley	1891	Megda	Emma Dunham Kelley	1891	/works/OL4971729W	3	3	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	6	1		author_variant_or_source_error; openalex:use_with_warning_short_title; wikidata_unresolved		0	0	0	0	/works/OL4971729W	3.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	/works/OL4971729W	0	0	NO_MATCH	0	short_or_general_title	6	1	6	0	1.0	/works/OL4971729W	6	6	0	0	1	6	0	6	1	1	api	accepted	1							no_reader_data	low	low	no_reader_data__ol_low__hathi_low	0.0	-1.8517910919338687	0.0	-1.4800202472911517	0.0		1.9459101490553128	-1.7576541542065929	0.6931471805599453	-0.735997233902501
The Frontiersman	Mary Noailles Murfree	1904	The Frontiersmen	Charles Egbert Craddock	1904	/works/OL2337481W	0	0	zero_title_author	short_title_len_le_2|canonical_preserved	9	5		title_variant; author_variant_or_source_error; openalex:zero_title_author; wikidata_unresolved	Mary Noailles Murfree published as Charles Egbert Craddock; the title also varies between singular and plural.	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	/works/OL2337481W	0	0	NO_MATCH_AUTH	0	short_or_general_title	9	0	0	-9	0.0		9	0	0	0	1	9	0	9	5	5	api	accepted	5							no_reader_data	low	high	no_reader_data__ol_low__hathi_high	0.0	-1.8517910919338687	0.0	-1.4800202472911517	0.0		2.302585092994046	-1.548571011309922	1.791759469228055	0.7388865467976155
The Genius	Theodore Dreiser	1915	"The ""genius"""	Theodore Dreiser	1915	/works/OL100196W	21	19	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	164	2		openalex:use_with_warning_short_title; wikidata_unresolved		59	4	6	49	/works/OL100196W	21.0	11.0	1.0	2.0	5.0	2.0	0.631578947368421	13.26315789473684	13.26315789473684	/works/OL100196W	0	0	NO_MATCH_AUTH	0	short_or_general_title|known_jstor_ambiguous_title	164	1	164	0	1.0	/works/OL100196W	164	164	0	0	1	164	0	164	2	2	api	accepted	2							no_reader_data	low	low	no_reader_data__ol_low__hathi_low	2.6576798417132603	-0.5328213145254763	1.6094379124341005	-0.4797967869471867	0.0		5.10594547390058	0.0947611292640714	1.0986122886681096	-0.1916615135060486
