OL1001635A	Peter Cheyney
OL5590569A	John Stewart Williamson
OL559804A	Bernardine Evaristo
OL560261A	C. P. Snow
OL560317A	Michael Innes
OL5609281A	Siegfried Sassoon
OL561107A	Noel Streatfeild
OL561457A	Gustav Meyrink
OL56244A	Montague Rhodes James
OL5630015A	Gerald Martin
OL56353A	Boris Vian
OL5661719A	Josep Lozano
OL56636A	Mikhail Evgrafovich Saltykov-Shchedrin
OL5676117A	Nathaniel Rich
OL5703637A	Agnès Castiglione
OL57263A	George Gissing
OL575542A	Rudolph Fisher
OL575609A	Cornelia Meigs
OL576232A	Jens Peter Jacobsen
OL577477A	Richard Lockridge
OL577783A	Elizabeth Daly
OL578113A	Kate Douglas Smith Wiggin
OL578337A	Maud Hart Lovelace
OL578569A	Beryl Markham
OL578737A	Joseph Moncure March
OL578783A	Edwin Lefèvre
OL580551A	James M. Cain
OL580795A	Willard Huntington Wright
OL581406A	Arthur Christopher Benson
OL581500A	Lucretia P. Hale
OL5816217A	Eleanor Hodgman Porter
OL58174A	Henry Williamson
OL581882A	Robert Lewis May
OL58198A	Elizabeth Bowen
OL58212A	Arnold Zweig
OL583194A	Jessie Redmon Fauset
OL584955A	Kathrine Kressmann Taylor
OL5868319A	Martín Luis Guzmán
OL586886A	DuBose Heyward
OL589077A	Diana Frederics
OL589400A	George Francis Lowther
OL58950A	Paul Gauguin
OL590889A	Eliza Calvert Hall
OL5911201A	Rasipuram Krishnaswamy Narayan
OL591204A	Saki
OL5916532A	Marjorie Lowry Christie Pickthall
OL59188A	Ayn Rand
OL593898A	Oliver La Farge
OL5940936A	Anthony C. Yu
OL5942629A	Winifred Holtby
OL595213A	Hergé
OL5953167A	A. J. Alexander
OL597559A	Dolores Turchi
OL5983176A	Martin Ross
OL5988813A	John
OL5990577A	John Fox
OL5990843A	Mary Raymond Shipman Andrews
OL5991559A	Lafcadio Hearn
OL5992216A	Weedon Grossmith
OL5992432A	Scheherazade
OL5993904A	Charlotte Mary Yonge
OL5994882A	Benjamin Ricketson Tucker
OL6000373A	Norman Douglas
OL6001513A	Cecil John Charles Street
OL6015010A	Charles Joseph Staniland
OL6020645A	Richard Hooker Wilmer - undifferentiated
OL602587A	Thomas Head Raddall
OL6026147A	Plimpton Press
OL6028715A	Elias Lieberman
OL6030603A	Velma Swanston Howard
OL60458A	Giovannino Guareschi
OL605044A	Victor Appleton
OL6061552A	Harriet Roosevelt Richards
OL607039A	Helen Waddell
OL607395A	Blair Niles
OL60791A	Pío Baroja
OL6080567A	Henry Mills Alden
OL608235A	Wu Cheng'en
OL6084190A	Bertha Stuart
OL6086971A	George Grossmith
OL61295A	Hermann Broch
OL61475A	Jerzy Andrzejewski
OL615934A	Kimberley Reynolds
OL619035A	Tony Carpentieri
OL6192175A	Catherine Augusta WALTON
OL62102A	Halldór Laxness
OL6216337A	Ellen O'Connor
OL6216743A	Camio José Cela
OL6225644A	Anzia Yezierska
OL623734A	Richard Hull
OL6274279A	Dawn Powell
OL6287601A	Ivo Andrić
OL62888A	Richard Marcinko
OL62982A	Betty Cavanna
OL63258A	Sir Max Beerbohm
OL63285A	Simone de Beauvoir
OL637216A	R. D. Blackmore
OL640385A	Frans Gunnar Bengtsson
OL6421834A	Robert Tressell
OL64296A	Tony Kushner
OL6431429A	Laura Freixas
OL6449688A	Alberto Cardín
OL6478250A	Laura Richards
OL6499041A	Helen Edmundson
OL65273A	I͡Uriĭ Karlovich Olesha
OL6529932A	Andrew D. Radford
OL6539768A	Alice Dalgliesh
OL6541308A	Adrian H Jaffe
OL65682A	Katherine Mansfield
OL6571234A	Yuri Herrera
OL657901A	George W. Stocking
OL659046A	Xiaoxiaosheng.
OL659498A	Carolyn Treffinger
OL65966A	August Strindberg
OL6619666A	Nisi Shawl
OL66452A	Miguel de Cervantes Saavedra
OL66700A	Paulo Coelho
OL6722249A	Carol Ann Duffy
OL673325A	Rainer Maria Rilke
OL673748A	Bertolt Brecht
OL67707A	Arthur Koestler
OL677865A	Irwin Shaw
OL6787831A	Patrick MacGill
OL6788580A	Edward Bellamy
OL6809750A	Иван Минчов Вазов
OL6815747A	Eleanor Atkins
OL6816362A	Keith Ward
OL6817796A	Richard Wright - undifferentiated
OL6818025A	Winston Churchill - undifferentiated
OL6819358A	Frances Little
OL6824A	Walker, Hugh
OL68313A	William Hope Hodgson
OL68315A	William Le Queux
OL683896A	Tsʻao, Hsüeh-chʻin.
OL68455A	Margery Williams Bianco
OL6851831A	Amy Puetz
OL685619A	Phoebe Atwood Taylor
OL6859020A	Richard Hooker Wilmer
OL685975A	David Coward
OL68704A	Benito Pérez Galdós
OL687981A	Craig Rice
OL688142A	Alexander Serafimovich
OL688643A	Eric Rücker Eddison
OL6886576A	Lord George Herbert
OL6898863A	E. M. Forster
OL6899222A	Molière
OL689972A	Morley Callaghan
OL6901900A	Phyllis Rowand
OL690355A	Claire Huchet Bishop
OL6905570A	Philip Larkin
OL6924798A	Sir Compton Mackenzie
OL6925939A	Joseph Jacobs
OL6926367A	Frank R. Stockton
OL693025A	Konstantin Fedin
OL6941822A	Koritha Mitchell
OL694301A	Alan Patrick Herbert
OL694360A	Arthur Quiller-Couch
OL6949516A	Margaret Mazzantini
OL6962599A	Dornford Yates
OL6968803A	Helen Aberson
OL6968990A	Anthony Price
OL6981084A	Bernadette Watts
OL6983699A	Orla Kiely
OL6987430A	Anita C. Nelson
OL6988036A	Gerri Kimber
OL70227A	Dmitry Sergeyevich Merezhkovsky
OL70343A	Auguste comte de Villiers de L'Isle-Adam
OL70348A	Richard Marsh
OL7073972A	Jason Mott
OL70788A	Hans Fallada
OL70874A	Horacio Quiroga
OL709314A	Jonathan Davis
OL70948A	Jean-Paul Sermain
OL709550A	Patricia Wentworth
OL710654A	Mary Renault
OL7106665A	Chris Colfer
OL711625A	Kay Boyle
OL7123339A	Vicente Blasco Ibáñez
OL712383A	Louis Slobodkin
OL71308A	Ernst Cassirer
OL713108A	Jack Schaefer
OL714210A	Walter Van Tilburg Clark
OL714442A	Helen MacInnes
OL714657A	太宰 治
OL71477A	Jaroslav Hašek
OL715014A	Leo Politi
OL715297A	Edmund Crispin
OL715648A	Charles Major
OL715817A	Katharine Burdekin
OL71598A	Ḥāfiẓ
OL716992A	Nathaniel Benchley
OL7173504A	Allie Brosh
OL7184407A	Der Nister
OL719256A	Frances Smith Foster
OL7224757A	John O'Hara
OL722936A	Enda Duffy
OL723913A	Judith Mayne
OL725921A	Pamela Kennedy
OL7272022A	B. T. B. (Basil Temple Blackwood), 1870-1917
OL727617A	Kenneth Fearing
OL72851A	Arturo Uslar Pietri
OL728636A	Hugh Garner
OL7297273A	Paul Boehmer
OL7303276A	Hercule Poirot
OL73090A	Eça de Queiroz
OL7315206A	Oliver Wyman
OL7317496A	Richard Wright
OL7328506A	Adrian Bradbury
OL73351A	Luis Buñuel
OL7337718A	Ruth Chrisman Gannett
OL7346331A	Jeffrey Stewart Timmins
OL7379579A	Q
OL743153A	Antonia White
OL7432057A	Martín Luis Guzmán
OL7434699A	Owen Wister
OL74403A	Іван Франко
OL74469A	Theodor Fontane
OL74490A	Mario Vargas Llosa
OL745928A	Verner von Heidenstam
OL7470491A	Howard Pyle
OL747214A	R. C. Sherriff
OL7479068A	William F. Nolan
OL7480823A	O. Henry
OL7481654A	Edward E. Smith
OL7485066A	Eric J. Guignard
OL7490356A	Ring Lardner
OL74978A	Mór Jókai
OL7499493A	Zack Davisson
OL7513496A	Martha King
OL75235A	Sir Walter Scott
OL7532933A	Maddie Frost
OL7533080A	Alexandra Boiger
OL7546030A	Alaska Angelini
OL7547636A	Samuel Hopkins Adams
OL7548358A	H.Y. Xiao PhD
OL7552034A	James Oliver Curwood
OL7553925A	(qing) Cao, xue qin
OL7568297A	Weedon Grossmith
OL756864A	David Lindsay
OL7597674A	Yayoi Kusama
OL76009A	Walter Farley
OL761501A	Laura Lee Hope
OL7623061A	Brian Bartlett
OL7623096A	John Fante
OL7625969A	Cao xue qin
OL7628788A	Matthew Stavros
OL7632339A	Thomas Mallon
OL763964A	Anthony Gilbert
OL76437A	Hermann Hesse
OL765158A	Maxine Paetro
OL7654716A	Michael Hofmann
OL765579A	Katherine Milhous
OL765631A	William Alexander Gerhardie
OL7656712A	Neil Campbell
OL766145A	Vorse, Mary Heaton
OL766555A	Georgette Heyer
OL767343A	Georges Ivanovitch Gurdjieff
OL7678129A	R.F. Gilmor
OL7680902A	Gray Dixon
OL76827A	Alessandro Baricco
OL769457A	A. Merritt
OL769474A	Christopher Manson
OL769654A	Lee McCann
OL770107A	Elizabeth Marie Pope
OL77081A	John Galsworthy
OL77089A	W. H. Hudson
OL771377A	R. Austin Freeman
OL772829A	Margaret Oliphant
OL7733747A	Mary Shepard
OL773783A	D. E. Stevenson
OL774458A	Harold L. Davis
OL774728A	Bell, Thomas
OL774814A	Cyril Hare
OL7761155A	Carroll Burleigh Colby (1904-1977)
OL776899A	Paul Gallico
OL777018A	Michael Lynberg
OL777790A	Stuart Palmer
OL778165A	Valentine Davies
OL7783049A	Pascal Covici, Jr.
OL778567A	Cathleen Schurr
OL7791183A	Malcom Cowley
OL7803817A	Roz Lee
OL781814A	Oriana Fallaci
OL7830906A	Katherine Kellgren
OL783392A	Gustaf Tenggren
OL78805A	George Meredith
OL78815A	Olive Schreiner
OL788378A	David Lorimer
OL7885493A	Yoko Ogihara
OL7885494A	Fernando Cordobés
OL788913A	Tereska Torrès
OL7893211A	John Terraine
OL7896048A	E. E. Cummings
OL79003A	S. J. Perelman
OL79039A	Gustave Flaubert
OL79066A	Bette Greene
OL7908367A	Ulrich Baer
OL7921283A	Christine Donougher
OL7923753A	John D Batten
OL7923754A	Gloria Cardew
OL793242A	Leo Calvin Rosten
OL7932848A	Noemí Risco Mateo
OL7933943A	Success Oceo
OL7934667A	A. Milne
OL79396A	Fyodor Sologub
OL7942110A	Paul Mirecki
OL794534A	C. H. B. Kitchin
OL7945937A	James Fouhey
OL79477A	Lin, Yutang
OL794876A	Ryūnosuke Akutagawa
OL7952135A	Adam Verner
OL795451A	A. J. Cronin
OL79624A	ʻUmar ibn Muḥammad Nafzāwī
OL79640A	Giacomo Puccini
OL79720A	Harry Stillwell Edwards
OL7983937A	Richard Scarry
OL7991014A	Laura Manero Jiménez
OL8013654A	Lisa Dillman
OL8015333A	Dolors Udina Abelló
OL8016149A	Paul Lantz
OL8029615A	Raoul Vitale
OL80426A	Ramón J. Sender
OL8043898A	Jane Ray
OL80534A	Lope de Vega
OL809238A	Lynd Ward
OL8106074A	Marta Pera Cucurell
OL812291A	Robert Lawson
OL8150316A	Jin-kyeong Lee
OL8160A	Mulk Raj Anand
OL8176287A	Jonathan Senchyne
OL8176288A	Brianne Jaquette
OL82155A	Claire Keegan
OL8240157A	David Goldfarb
OL8248349A	Mark Hussey
OL8248605A	The Gunston Trust
OL828263A	Rebecca Caudill
OL82868A	Miguel Ángel Asturias
OL82891A	Juan Ramón Jiménez
OL8293860A	H. Warner Allen
OL829563A	Eiji Yoshikawa
OL829834A	W. Heath Robinson
OL830214A	D'Arcy McNickle
OL831217A	Isabel Meredith
OL8315419A	Harrison Fisher
OL8318277A	Agnes Sims
OL833641A	Lee Kingman
OL834168A	Slobodkina, Esphyr
OL835013A	Louise Rankin
OL83503A	Alphonse Daudet
OL8361345A	Foy Scalf
OL836234A	Monica Shannon
OL8370471A	Mint Editions
OL83751A	Camilo José Cela
OL838091A	Caroline Pafford Miller
OL838362A	Pietro Di Donato
OL839555A	Sarah Grand
OL840166A	Berta Hader
OL840183A	Leo Bruce
OL8402024A	Craig Trahan
OL8402543A	Lee Giles
OL840964A	Okakura Kakuzō
OL841130A	Richard Atwater
OL841208A	Marcia Davenport
OL841402A	Jean Webster
OL8424664A	Max Brand
OL8447748A	Richard Dannay
OL8465367A	David Soler García
OL8477044A	Ferran Ràfols Gesa
OL849503A	Roberta Leigh
OL8515347A	Catherine Babok
OL8516079A	Susannah Mary Paull
OL85357A	Jacques Roumain
OL8591582A	E E Doc Smith
OL8597178A	CrossReach Publications
OL864542A	Thomas Mofolo
OL8648916A	SD Simper
OL865536A	Mary Gladys Meredith Webb
OL866294A	Rachel Ferguson
OL866650A	Ritchie Robertson
OL8670959A	Oriana Fallaci
OL86757A	Jean Cocteau
OL872154A	José Díaz Fernández
OL879668A	Harold Bindloss
OL879719A	Patrick MacGill
OL88204A	Erich Kästner
OL888434A	E. M. Delafield
OL888663A	Kathryn Blair
OL888706A	Felix Salten
OL88882A	Friedrich Hebbel
OL889814A	Christianna Brand
OL889822A	Myles Connolly
OL890163A	Aubrey Vincent Beardsley
OL890833A	Kate Seredy
OL891488A	Rose Macaulay
OL891528A	Charles Henri Ford
OL891758A	Mary O'Hara
OL892147A	Ida Cook
OL892147A	Mary Burchell
OL893532A	Don Wood
OL894074A	Catherine Woolley
OL894534A	Michael Glenny
OL8961129A	Lucile Morrison
OL8961130A	Franz Geritz
OL8961131A	Franz Geritz
OL896624A	Leslie Charteris
OL904198A	Caryl Brahms
OL904271A	Anonymous
OL906030A	Pierre Souvestre
OL9082662A	William Sutherland Sir
OL9084876A	Jeanne de Salzmann
OL9085060A	Frank Merrill
OL9092651A	Ann Petry
OL910273A	Holling Clancy Holling
OL9103427A	Aliza Shevrin Shevrin
OL9107789A	David Crommett
OL9119145A	Qem Classic
OL9119578A	The Full Cast Family Cynthia Bishop
OL9141195A	Rafael Blanco
OL9147239A	María Belmonte Barrenechea
OL915070A	Ödön von Horváth
OL91522A	Anatole France
OL9161902A	Anna Katharine Green
OL916848A	Roger Duvoisin
OL9170791A	Ellie Schleussner
OL917138A	Norman Lindsay
OL9172169A	John Temple Graves
OL9209348A	William James Jordan
OL9213640A	John Dickson Batten
OL9216769A	Fergus Hume
OL9220446A	STEELE MACKAYE
OL9220447A	Mary Keith Medbery MacKaye
OL9240572A	Wendy Hillier
OL92518A	Theodor Storm
OL9258393A	Éditions CdBF
OL9259444A	Amy Catherine Deck Walton
OL9260057A	edibooks
OL9260607A	Miguel Asturias
OL9265665A	Sara Lopez
OL9277378A	. Stephen
OL92779A	Rachel Field
OL92800A	Omar Khayyam
OL9288156A	Mrs. Steele Mackaye
OL9297879A	Mary Keith Medbery Mackaye
OL93118A	Clarice Lispector
OL93286A	Machado de Assis
OL933243A	Adolfo Caminha
OL9338560A	Fanny Le Breton
OL93432A	Mário de Andrade
OL9355783A	Gerard Doyle Dr
OL9360144A	H y Xiao Phd
OL9385978A	Amara Saldaña
OL9388A	William Shakespeare
OL9397813A	Jeff Smith
OL9428816A	J. Cohn
OL9428817A	J. Cohn
OL943084A	Mazo de la Roche
OL9440312A	Umeji Sasaki
OL9460751A	Kazuko Komine
OL946631A	Jessamyn West
OL9474818A	Allen Lewis
OL9477965A	H. S. De Lay
OL947807A	Inez Haynes Gillmore
OL947964A	Peter Hainsworth
OL9479804A	Matthew Hodgson
OL9494793A	Graeme Wilson
OL9505024A	Neil Hannon
OL951137A	Geoffrey Trease
OL951438A	Ernest Bramah
OL951654A	Jo Labanyi
OL951984A	Samuel Hopkins Adams
OL952381A	Stella McNichol
OL952410A	Robert McCloskey
OL952964A	Kurt Wiese
OL954408A	Willard Motley
OL955424A	Munro Leaf
OL955613A	Wesley Dennis
OL955690A	Richard Ellmann
OL956671A	Hjalmar Söderberg
OL9567913A	John Frederick (Max Brand)
OL9572684A	Patty Nicole Johnson
OL957796A	Richard Hughes
OL9600860A	Howard Rubin
OL9617632A	Joseph JACOBS
OL9622051A	Tyrol Kobata
OL9622052A	Chiroru Kobata
OL9626338A	U. M. V. UMV Publishing
OL963361A	Maximo M. Kalaw
OL9644276A	jaime arbe
OL964706A	Leonard Woolf
OL9650732A	J. K. Jomkhwan
OL9656039A	Edith V.B. MATTHEWS
OL9690296A	Ernest Vizetelly
OL9708655A	Kestra Gravier
OL9708656A	Arlee Scott
OL9769832A	JoAnn M. Mirlenbrink
OL9776484A	Levi Soucy
OL9776514A	Laughing Books
OL9777A	James Allen
OL981787A	Dmitry Furmanov
OL9855685A	L. Oulton
OL9861807A	gabriel zarraga
OL986502A	Ralf Peters
OL9880679A	F.B. Miggles Harte
OL9895020A	Alexei Tolstoy
OL990216A	Rosamond Lehmann
OL9904721A	Noel Arthur
OL990605A	Ihara Saikaku
OL9914368A	Aleksey Tolstoy
OL993246A	Ellis Parker Butler
OL993249A	Marietta Holley
OL9942206A	Beatriz Martín Vidal
OL9949450A	Amelia Pérez de Villar Herranz
OL998925A	Stuart Pratt Sherman
